#Date    MJD          VIS?  PAnom   PArange
19-06-01 58635.000000 True  109.941 103.867--116.014 
19-06-02 58636.000000 True  110.066 104.107--116.025 
19-06-03 58637.000000 True  110.188 104.230--116.147 
19-06-04 58638.000000 True  110.309 104.464--116.153 
19-06-05 58639.000000 True  110.426 104.582--116.271 
19-06-06 58640.000000 True  110.542 104.813--116.272 
19-06-07 58641.000000 True  110.656 104.926--116.385 
19-06-08 58642.000000 True  110.768 105.038--116.497 
19-06-09 58643.000000 True  110.878 105.263--116.493 
19-06-10 58644.000000 True  110.986 105.371--116.601 
19-06-11 58645.000000 True  111.093 105.592--116.593 
19-06-12 58646.000000 True  111.198 105.697--116.698 
19-06-13 58647.000000 True  111.302 105.801--116.802 
19-06-14 58648.000000 True  111.404 105.904--116.905 
19-06-15 58649.000000 True  111.505 106.120--116.891 
19-06-16 58650.000000 True  111.605 106.220--116.991 
19-06-17 58651.000000 True  111.704 106.319--117.090 
19-06-18 58652.000000 True  111.802 106.417--117.188 
19-06-19 58653.000000 True  111.899 106.628--117.171 
19-06-20 58654.000000 True  111.995 106.724--117.267 
19-06-21 58655.000000 True  112.091 106.820--117.362 
19-06-22 58656.000000 True  112.185 106.914--117.457 
19-06-23 58657.000000 True  112.279 107.008--117.550 
19-06-24 58658.000000 True  112.373 107.101--117.644 
19-06-25 58659.000000 True  112.465 107.309--117.622 
19-06-26 58660.000000 True  112.557 107.401--117.714 
19-06-27 58661.000000 True  112.649 107.493--117.806 
19-06-28 58662.000000 True  112.741 107.584--117.897 
19-06-29 58663.000000 True  112.832 107.675--117.988 
19-06-30 58664.000000 True  112.922 107.766--118.079 
19-07-01 58665.000000 True  113.013 107.856--118.169 
19-07-02 58666.000000 True  113.103 107.947--118.260 
19-07-03 58667.000000 True  113.193 108.037--118.350 
19-07-04 58668.000000 True  113.284 108.127--118.440 
19-07-05 58669.000000 True  113.374 108.217--118.530 
19-07-06 58670.000000 True  113.464 108.307--118.621 
19-07-07 58671.000000 True  113.554 108.398--118.711 
19-07-08 58672.000000 True  113.645 108.488--118.801 
19-07-09 58673.000000 True  113.735 108.579--118.892 
19-07-10 58674.000000 False ------- ---------------- 
19-07-11 58675.000000 False ------- ---------------- 
19-07-12 58676.000000 False ------- ---------------- 
19-07-13 58677.000000 False ------- ---------------- 
19-07-14 58678.000000 False ------- ---------------- 
19-07-15 58679.000000 False ------- ---------------- 
19-07-16 58680.000000 False ------- ---------------- 
19-07-17 58681.000000 False ------- ---------------- 
19-07-18 58682.000000 False ------- ---------------- 
19-07-19 58683.000000 False ------- ---------------- 
19-07-20 58684.000000 False ------- ---------------- 
19-07-21 58685.000000 False ------- ---------------- 
19-07-22 58686.000000 False ------- ---------------- 
19-07-23 58687.000000 False ------- ---------------- 
19-07-24 58688.000000 False ------- ---------------- 
19-07-25 58689.000000 False ------- ---------------- 
19-07-26 58690.000000 False ------- ---------------- 
19-07-27 58691.000000 False ------- ---------------- 
19-07-28 58692.000000 False ------- ---------------- 
19-07-29 58693.000000 False ------- ---------------- 
19-07-30 58694.000000 False ------- ---------------- 
19-07-31 58695.000000 False ------- ---------------- 
19-08-01 58696.000000 False ------- ---------------- 
19-08-02 58697.000000 False ------- ---------------- 
19-08-03 58698.000000 False ------- ---------------- 
19-08-04 58699.000000 False ------- ---------------- 
19-08-05 58700.000000 False ------- ---------------- 
19-08-06 58701.000000 False ------- ---------------- 
19-08-07 58702.000000 False ------- ---------------- 
19-08-08 58703.000000 False ------- ---------------- 
19-08-09 58704.000000 False ------- ---------------- 
19-08-10 58705.000000 False ------- ---------------- 
19-08-11 58706.000000 False ------- ---------------- 
19-08-12 58707.000000 False ------- ---------------- 
19-08-13 58708.000000 False ------- ---------------- 
19-08-14 58709.000000 False ------- ---------------- 
19-08-15 58710.000000 False ------- ---------------- 
19-08-16 58711.000000 False ------- ---------------- 
19-08-17 58712.000000 False ------- ---------------- 
19-08-18 58713.000000 False ------- ---------------- 
19-08-19 58714.000000 False ------- ---------------- 
19-08-20 58715.000000 False ------- ---------------- 
19-08-21 58716.000000 False ------- ---------------- 
19-08-22 58717.000000 False ------- ---------------- 
19-08-23 58718.000000 False ------- ---------------- 
19-08-24 58719.000000 False ------- ---------------- 
19-08-25 58720.000000 False ------- ---------------- 
19-08-26 58721.000000 False ------- ---------------- 
19-08-27 58722.000000 False ------- ---------------- 
19-08-28 58723.000000 False ------- ---------------- 
19-08-29 58724.000000 False ------- ---------------- 
19-08-30 58725.000000 False ------- ---------------- 
19-08-31 58726.000000 False ------- ---------------- 
19-09-01 58727.000000 False ------- ---------------- 
19-09-02 58728.000000 False ------- ---------------- 
19-09-03 58729.000000 False ------- ---------------- 
19-09-04 58730.000000 False ------- ---------------- 
19-09-05 58731.000000 False ------- ---------------- 
19-09-06 58732.000000 False ------- ---------------- 
19-09-07 58733.000000 False ------- ---------------- 
19-09-08 58734.000000 False ------- ---------------- 
19-09-09 58735.000000 False ------- ---------------- 
19-09-10 58736.000000 False ------- ---------------- 
19-09-11 58737.000000 False ------- ---------------- 
19-09-12 58738.000000 False ------- ---------------- 
19-09-13 58739.000000 False ------- ---------------- 
19-09-14 58740.000000 False ------- ---------------- 
19-09-15 58741.000000 False ------- ---------------- 
19-09-16 58742.000000 False ------- ---------------- 
19-09-17 58743.000000 False ------- ---------------- 
19-09-18 58744.000000 False ------- ---------------- 
19-09-19 58745.000000 False ------- ---------------- 
19-09-20 58746.000000 False ------- ---------------- 
19-09-21 58747.000000 False ------- ---------------- 
19-09-22 58748.000000 False ------- ---------------- 
19-09-23 58749.000000 False ------- ---------------- 
19-09-24 58750.000000 False ------- ---------------- 
19-09-25 58751.000000 False ------- ---------------- 
19-09-26 58752.000000 False ------- ---------------- 
19-09-27 58753.000000 False ------- ---------------- 
19-09-28 58754.000000 False ------- ---------------- 
19-09-29 58755.000000 False ------- ---------------- 
19-09-30 58756.000000 False ------- ---------------- 
19-10-01 58757.000000 False ------- ---------------- 
19-10-02 58758.000000 False ------- ---------------- 
19-10-03 58759.000000 False ------- ---------------- 
19-10-04 58760.000000 False ------- ---------------- 
19-10-05 58761.000000 False ------- ---------------- 
19-10-06 58762.000000 False ------- ---------------- 
19-10-07 58763.000000 False ------- ---------------- 
19-10-08 58764.000000 False ------- ---------------- 
19-10-09 58765.000000 False ------- ---------------- 
19-10-10 58766.000000 False ------- ---------------- 
19-10-11 58767.000000 False ------- ---------------- 
19-10-12 58768.000000 False ------- ---------------- 
19-10-13 58769.000000 False ------- ---------------- 
19-10-14 58770.000000 False ------- ---------------- 
19-10-15 58771.000000 False ------- ---------------- 
19-10-16 58772.000000 False ------- ---------------- 
19-10-17 58773.000000 False ------- ---------------- 
19-10-18 58774.000000 False ------- ---------------- 
19-10-19 58775.000000 False ------- ---------------- 
19-10-20 58776.000000 False ------- ---------------- 
19-10-21 58777.000000 False ------- ---------------- 
19-10-22 58778.000000 False ------- ---------------- 
19-10-23 58779.000000 False ------- ---------------- 
19-10-24 58780.000000 False ------- ---------------- 
19-10-25 58781.000000 False ------- ---------------- 
19-10-26 58782.000000 False ------- ---------------- 
19-10-27 58783.000000 False ------- ---------------- 
19-10-28 58784.000000 False ------- ---------------- 
19-10-29 58785.000000 False ------- ---------------- 
19-10-30 58786.000000 False ------- ---------------- 
19-10-31 58787.000000 False ------- ---------------- 
19-11-01 58788.000000 False ------- ---------------- 
19-11-02 58789.000000 False ------- ---------------- 
19-11-03 58790.000000 False ------- ---------------- 
19-11-04 58791.000000 False ------- ---------------- 
19-11-05 58792.000000 False ------- ---------------- 
19-11-06 58793.000000 False ------- ---------------- 
19-11-07 58794.000000 False ------- ---------------- 
19-11-08 58795.000000 False ------- ---------------- 
19-11-09 58796.000000 False ------- ---------------- 
19-11-10 58797.000000 False ------- ---------------- 
19-11-11 58798.000000 False ------- ---------------- 
19-11-12 58799.000000 False ------- ---------------- 
19-11-13 58800.000000 False ------- ---------------- 
19-11-14 58801.000000 False ------- ---------------- 
19-11-15 58802.000000 False ------- ---------------- 
19-11-16 58803.000000 False ------- ---------------- 
19-11-17 58804.000000 False ------- ---------------- 
19-11-18 58805.000000 False ------- ---------------- 
19-11-19 58806.000000 False ------- ---------------- 
19-11-20 58807.000000 False ------- ---------------- 
19-11-21 58808.000000 False ------- ---------------- 
19-11-22 58809.000000 False ------- ---------------- 
19-11-23 58810.000000 False ------- ---------------- 
19-11-24 58811.000000 False ------- ---------------- 
19-11-25 58812.000000 False ------- ---------------- 
19-11-26 58813.000000 False ------- ---------------- 
19-11-27 58814.000000 False ------- ---------------- 
19-11-28 58815.000000 False ------- ---------------- 
19-11-29 58816.000000 False ------- ---------------- 
19-11-30 58817.000000 False ------- ---------------- 
19-12-01 58818.000000 False ------- ---------------- 
19-12-02 58819.000000 False ------- ---------------- 
19-12-03 58820.000000 False ------- ---------------- 
19-12-04 58821.000000 False ------- ---------------- 
19-12-05 58822.000000 False ------- ---------------- 
19-12-06 58823.000000 False ------- ---------------- 
19-12-07 58824.000000 False ------- ---------------- 
19-12-08 58825.000000 False ------- ---------------- 
19-12-09 58826.000000 False ------- ---------------- 
19-12-10 58827.000000 False ------- ---------------- 
19-12-11 58828.000000 False ------- ---------------- 
19-12-12 58829.000000 False ------- ---------------- 
19-12-13 58830.000000 False ------- ---------------- 
19-12-14 58831.000000 False ------- ---------------- 
19-12-15 58832.000000 False ------- ---------------- 
19-12-16 58833.000000 False ------- ---------------- 
19-12-17 58834.000000 False ------- ---------------- 
19-12-18 58835.000000 False ------- ---------------- 
19-12-19 58836.000000 False ------- ---------------- 
19-12-20 58837.000000 False ------- ---------------- 
19-12-21 58838.000000 False ------- ---------------- 
19-12-22 58839.000000 False ------- ---------------- 
19-12-23 58840.000000 False ------- ---------------- 
19-12-24 58841.000000 False ------- ---------------- 
19-12-25 58842.000000 False ------- ---------------- 
19-12-26 58843.000000 False ------- ---------------- 
19-12-27 58844.000000 False ------- ---------------- 
19-12-28 58845.000000 False ------- ---------------- 
19-12-29 58846.000000 True  292.735 287.578--297.891 
19-12-30 58847.000000 True  292.843 287.686--297.999 
19-12-31 58848.000000 True  292.950 287.794--298.107 
20-01-01 58849.000000 True  293.058 287.901--298.214 
20-01-02 58850.000000 True  293.165 288.008--298.322 
20-01-03 58851.000000 True  293.272 288.116--298.429 
20-01-04 58852.000000 True  293.380 288.223--298.536 
20-01-05 58853.000000 True  293.487 288.330--298.644 
20-01-06 58854.000000 True  293.595 288.438--298.751 
20-01-07 58855.000000 True  293.703 288.546--298.859 
20-01-08 58856.000000 True  293.811 288.654--298.967 
20-01-09 58857.000000 True  293.919 288.763--299.076 
20-01-10 58858.000000 True  294.028 288.871--299.185 
20-01-11 58859.000000 True  294.137 288.981--299.294 
20-01-12 58860.000000 True  294.247 289.091--299.404 
20-01-13 58861.000000 True  294.358 289.087--299.629 
20-01-14 58862.000000 True  294.469 289.198--299.740 
20-01-15 58863.000000 True  294.581 289.310--299.852 
20-01-16 58864.000000 True  294.694 289.423--299.965 
20-01-17 58865.000000 True  294.808 289.537--300.079 
20-01-18 58866.000000 True  294.922 289.537--300.308 
20-01-19 58867.000000 True  295.038 289.652--300.424 
20-01-20 58868.000000 True  295.155 289.769--300.541 
20-01-21 58869.000000 True  295.273 289.887--300.659 
20-01-22 58870.000000 True  295.393 289.892--300.893 
20-01-23 58871.000000 True  295.513 290.013--301.014 
20-01-24 58872.000000 True  295.636 290.135--301.136 
20-01-25 58873.000000 True  295.759 290.144--301.374 
20-01-26 58874.000000 True  295.885 290.270--301.500 
20-01-27 58875.000000 True  296.012 290.397--301.627 
20-01-28 58876.000000 True  296.141 290.412--301.871 
20-01-29 58877.000000 True  296.273 290.543--302.002 
20-01-30 58878.000000 True  296.406 290.562--302.250 
20-01-31 58879.000000 True  296.542 290.698--302.386 
20-02-01 58880.000000 True  296.680 290.721--302.639 
20-02-02 58881.000000 True  296.820 290.862--302.779 
20-02-03 58882.000000 True  296.964 290.890--303.037 
20-02-04 58883.000000 True  297.110 291.037--303.183 
20-02-05 58884.000000 True  297.259 291.072--303.447 
20-02-06 58885.000000 True  297.412 291.110--303.715 
20-02-07 58886.000000 True  297.568 291.266--303.871 
20-02-08 58887.000000 True  297.728 291.311--304.145 
20-02-09 58888.000000 True  297.892 291.360--304.424 
20-02-10 58889.000000 True  298.060 291.413--304.706 
20-02-11 58890.000000 True  298.232 291.586--304.879 
20-02-12 58891.000000 True  298.409 291.648--305.170 
20-02-13 58892.000000 True  298.592 291.716--305.467 
20-02-14 58893.000000 True  298.779 291.789--305.770 
20-02-15 58894.000000 True  298.973 291.868--306.078 
20-02-16 58895.000000 True  299.173 291.954--306.392 
20-02-17 58896.000000 False ------- ---------------- 
20-02-18 58897.000000 False ------- ---------------- 
20-02-19 58898.000000 False ------- ---------------- 
20-02-20 58899.000000 False ------- ---------------- 
20-02-21 58900.000000 False ------- ---------------- 
20-02-22 58901.000000 False ------- ---------------- 
20-02-23 58902.000000 False ------- ---------------- 
20-02-24 58903.000000 False ------- ---------------- 
20-02-25 58904.000000 False ------- ---------------- 
20-02-26 58905.000000 False ------- ---------------- 
20-02-27 58906.000000 False ------- ---------------- 
20-02-28 58907.000000 False ------- ---------------- 
20-02-29 58908.000000 False ------- ---------------- 
20-03-01 58909.000000 False ------- ---------------- 
20-03-02 58910.000000 False ------- ---------------- 
20-03-03 58911.000000 False ------- ---------------- 
20-03-04 58912.000000 False ------- ---------------- 
20-03-05 58913.000000 False ------- ---------------- 
20-03-06 58914.000000 False ------- ---------------- 
20-03-07 58915.000000 False ------- ---------------- 
20-03-08 58916.000000 False ------- ---------------- 
20-03-09 58917.000000 False ------- ---------------- 
20-03-10 58918.000000 False ------- ---------------- 
20-03-11 58919.000000 False ------- ---------------- 
20-03-12 58920.000000 False ------- ---------------- 
20-03-13 58921.000000 False ------- ---------------- 
20-03-14 58922.000000 False ------- ---------------- 
20-03-15 58923.000000 False ------- ---------------- 
20-03-16 58924.000000 False ------- ---------------- 
20-03-17 58925.000000 False ------- ---------------- 
20-03-18 58926.000000 False ------- ---------------- 
20-03-19 58927.000000 False ------- ---------------- 
20-03-20 58928.000000 False ------- ---------------- 
20-03-21 58929.000000 False ------- ---------------- 
20-03-22 58930.000000 False ------- ---------------- 
20-03-23 58931.000000 False ------- ---------------- 
20-03-24 58932.000000 False ------- ---------------- 
20-03-25 58933.000000 False ------- ---------------- 
20-03-26 58934.000000 False ------- ---------------- 
20-03-27 58935.000000 False ------- ---------------- 
20-03-28 58936.000000 False ------- ---------------- 
20-03-29 58937.000000 False ------- ---------------- 
20-03-30 58938.000000 False ------- ---------------- 
20-03-31 58939.000000 False ------- ---------------- 
20-04-01 58940.000000 False ------- ---------------- 
20-04-02 58941.000000 False ------- ---------------- 
20-04-03 58942.000000 False ------- ---------------- 
20-04-04 58943.000000 False ------- ---------------- 
20-04-05 58944.000000 False ------- ---------------- 
20-04-06 58945.000000 False ------- ---------------- 
20-04-07 58946.000000 False ------- ---------------- 
20-04-08 58947.000000 False ------- ---------------- 
20-04-09 58948.000000 False ------- ---------------- 
20-04-10 58949.000000 False ------- ---------------- 
20-04-11 58950.000000 False ------- ---------------- 
20-04-12 58951.000000 False ------- ---------------- 
20-04-13 58952.000000 False ------- ---------------- 
20-04-14 58953.000000 False ------- ---------------- 
20-04-15 58954.000000 False ------- ---------------- 
20-04-16 58955.000000 False ------- ---------------- 
20-04-17 58956.000000 False ------- ---------------- 
20-04-18 58957.000000 False ------- ---------------- 
20-04-19 58958.000000 False ------- ---------------- 
20-04-20 58959.000000 False ------- ---------------- 
20-04-21 58960.000000 False ------- ---------------- 
20-04-22 58961.000000 False ------- ---------------- 
20-04-23 58962.000000 False ------- ---------------- 
20-04-24 58963.000000 False ------- ---------------- 
20-04-25 58964.000000 False ------- ---------------- 
20-04-26 58965.000000 False ------- ---------------- 
20-04-27 58966.000000 False ------- ---------------- 
20-04-28 58967.000000 False ------- ---------------- 
20-04-29 58968.000000 False ------- ---------------- 
20-04-30 58969.000000 False ------- ---------------- 
20-05-01 58970.000000 False ------- ---------------- 
20-05-02 58971.000000 False ------- ---------------- 
20-05-03 58972.000000 False ------- ---------------- 
20-05-04 58973.000000 False ------- ---------------- 
20-05-05 58974.000000 False ------- ---------------- 
20-05-06 58975.000000 False ------- ---------------- 
20-05-07 58976.000000 False ------- ---------------- 
