#Date    MJD          VIS?  PAnom   PArange
19-06-01 58635.000000 True  162.435 157.279--167.592 
19-06-02 58636.000000 True  163.389 158.232--168.545 
19-06-03 58637.000000 True  164.342 159.185--169.498 
19-06-04 58638.000000 True  165.295 160.138--170.451 
19-06-05 58639.000000 True  166.248 161.091--171.404 
19-06-06 58640.000000 True  167.201 162.044--172.357 
19-06-07 58641.000000 True  168.153 162.997--173.310 
19-06-08 58642.000000 True  169.106 163.949--174.263 
19-06-09 58643.000000 True  170.059 164.902--175.215 
19-06-10 58644.000000 True  171.011 165.855--176.168 
19-06-11 58645.000000 True  171.964 166.807--177.120 
19-06-12 58646.000000 True  172.916 167.760--178.073 
19-06-13 58647.000000 True  173.869 168.712--179.025 
19-06-14 58648.000000 True  174.821 169.664--179.978 
19-06-15 58649.000000 True  175.774 170.617--180.930 
19-06-16 58650.000000 True  176.726 171.569--181.883 
19-06-17 58651.000000 True  177.679 172.522--182.835 
19-06-18 58652.000000 True  178.631 173.475--183.788 
19-06-19 58653.000000 True  179.584 174.427--184.740 
19-06-20 58654.000000 True  180.537 175.380--185.693 
19-06-21 58655.000000 True  181.489 176.333--186.646 
19-06-22 58656.000000 True  182.442 177.286--187.599 
19-06-23 58657.000000 True  183.395 178.239--188.552 
19-06-24 58658.000000 True  184.348 179.192--189.505 
19-06-25 58659.000000 True  185.301 180.145--190.458 
19-06-26 58660.000000 True  186.255 181.098--191.411 
19-06-27 58661.000000 True  187.208 182.052--192.365 
19-06-28 58662.000000 True  188.162 183.005--193.319 
19-06-29 58663.000000 True  189.116 183.959--194.272 
19-06-30 58664.000000 True  190.070 184.913--195.226 
19-07-01 58665.000000 True  191.024 185.867--196.181 
19-07-02 58666.000000 True  191.978 186.822--197.135 
19-07-03 58667.000000 True  192.933 187.776--198.089 
19-07-04 58668.000000 True  193.888 188.731--199.044 
19-07-05 58669.000000 True  194.843 189.686--199.999 
19-07-06 58670.000000 True  195.798 190.641--200.954 
19-07-07 58671.000000 True  196.753 191.597--201.910 
19-07-08 58672.000000 True  197.709 192.552--202.865 
19-07-09 58673.000000 True  198.665 193.508--203.821 
19-07-10 58674.000000 True  199.621 194.464--204.778 
19-07-11 58675.000000 True  200.577 195.421--205.734 
19-07-12 58676.000000 True  201.534 196.378--206.691 
19-07-13 58677.000000 True  202.491 197.335--207.648 
19-07-14 58678.000000 True  203.449 198.292--208.605 
19-07-15 58679.000000 True  204.406 199.250--209.563 
19-07-16 58680.000000 True  205.364 200.207--210.521 
19-07-17 58681.000000 True  206.322 201.166--211.479 
19-07-18 58682.000000 True  207.281 202.124--212.437 
19-07-19 58683.000000 True  208.240 203.083--213.396 
19-07-20 58684.000000 True  209.199 204.042--214.356 
19-07-21 58685.000000 True  210.158 205.002--215.315 
19-07-22 58686.000000 True  211.118 205.962--216.275 
19-07-23 58687.000000 True  212.079 206.922--217.235 
19-07-24 58688.000000 True  213.039 207.883--218.196 
19-07-25 58689.000000 True  214.000 208.843--219.157 
19-07-26 58690.000000 True  214.961 209.805--220.118 
19-07-27 58691.000000 True  215.923 210.766--221.080 
19-07-28 58692.000000 True  216.885 211.728--222.042 
19-07-29 58693.000000 True  217.847 212.691--223.004 
19-07-30 58694.000000 True  218.810 213.653--223.967 
19-07-31 58695.000000 True  219.773 214.616--224.930 
19-08-01 58696.000000 True  220.736 215.580--225.893 
19-08-02 58697.000000 True  221.700 216.544--226.857 
19-08-03 58698.000000 True  222.664 217.508--227.821 
19-08-04 58699.000000 True  223.629 218.472--228.786 
19-08-05 58700.000000 True  224.594 219.437--229.750 
19-08-06 58701.000000 True  225.559 220.402--230.716 
19-08-07 58702.000000 True  226.525 221.368--231.681 
19-08-08 58703.000000 True  227.491 222.334--232.647 
19-08-09 58704.000000 True  228.457 223.300--233.613 
19-08-10 58705.000000 True  229.423 224.267--234.580 
19-08-11 58706.000000 True  230.390 225.234--235.547 
19-08-12 58707.000000 True  231.358 226.201--236.514 
19-08-13 58708.000000 True  232.325 227.169--237.482 
19-08-14 58709.000000 True  233.293 228.137--238.450 
19-08-15 58710.000000 True  234.261 229.105--239.418 
19-08-16 58711.000000 True  235.230 230.073--240.387 
19-08-17 58712.000000 True  236.199 231.042--241.355 
19-08-18 58713.000000 True  237.168 232.011--242.325 
19-08-19 58714.000000 True  238.137 232.981--243.294 
19-08-20 58715.000000 True  239.107 233.950--244.264 
19-08-21 58716.000000 True  240.077 234.920--245.234 
19-08-22 58717.000000 True  241.047 235.891--246.204 
19-08-23 58718.000000 True  242.018 236.861--247.174 
19-08-24 58719.000000 True  242.988 237.832--248.145 
19-08-25 58720.000000 True  243.959 238.803--249.116 
19-08-26 58721.000000 True  244.930 239.774--250.087 
19-08-27 58722.000000 True  245.902 240.745--251.058 
19-08-28 58723.000000 True  246.874 241.717--252.030 
19-08-29 58724.000000 True  247.845 242.689--253.002 
19-08-30 58725.000000 True  248.817 243.661--253.974 
19-08-31 58726.000000 True  249.790 244.633--254.946 
19-09-01 58727.000000 True  250.762 245.605--255.919 
19-09-02 58728.000000 True  251.735 246.578--256.891 
19-09-03 58729.000000 True  252.708 247.551--257.864 
19-09-04 58730.000000 True  253.681 248.524--258.837 
19-09-05 58731.000000 True  254.654 249.497--259.811 
19-09-06 58732.000000 True  255.627 250.471--260.784 
19-09-07 58733.000000 True  256.601 251.445--261.758 
19-09-08 58734.000000 True  257.575 252.418--262.732 
19-09-09 58735.000000 True  258.549 253.393--263.706 
19-09-10 58736.000000 True  259.523 254.367--264.680 
19-09-11 58737.000000 True  260.498 255.341--265.655 
19-09-12 58738.000000 True  261.473 256.316--266.629 
19-09-13 58739.000000 True  262.448 257.291--267.604 
19-09-14 58740.000000 True  263.423 258.266--268.580 
19-09-15 58741.000000 True  264.398 259.242--269.555 
19-09-16 58742.000000 True  265.374 260.217--270.531 
19-09-17 58743.000000 True  266.350 261.193--271.507 
19-09-18 58744.000000 True  267.326 262.169--272.483 
19-09-19 58745.000000 True  268.302 263.146--273.459 
19-09-20 58746.000000 True  269.279 264.122--274.436 
19-09-21 58747.000000 True  270.256 265.099--275.413 
19-09-22 58748.000000 True  271.233 266.076--276.390 
19-09-23 58749.000000 True  272.211 267.054--277.367 
19-09-24 58750.000000 True  273.188 268.032--278.345 
19-09-25 58751.000000 True  274.166 269.010--279.323 
19-09-26 58752.000000 True  275.145 269.988--280.301 
19-09-27 58753.000000 True  276.123 270.967--281.280 
19-09-28 58754.000000 True  277.102 271.946--282.259 
19-09-29 58755.000000 True  278.081 272.925--283.238 
19-09-30 58756.000000 True  279.061 273.904--284.217 
19-10-01 58757.000000 True  280.041 274.884--285.197 
19-10-02 58758.000000 True  281.021 275.864--286.177 
19-10-03 58759.000000 True  282.001 276.845--287.158 
19-10-04 58760.000000 True  282.982 277.826--288.139 
19-10-05 58761.000000 True  283.964 278.807--289.120 
19-10-06 58762.000000 True  284.945 279.788--290.102 
